"Country","Source","Occupation","Year","Value"
"Afghanistan","LFS - Labour Force Survey","Skill levels 3 and 4 ~ high","2020","-60.1"
"Afghanistan","LFS - Labour Force Survey","Skill level 2 ~ medium","2020","-58.6"
"Afghanistan","LFS - Labour Force Survey","Skill level 1 ~ low","2020","-22"
"Afghanistan","HIES - Households Living Conditions Survey","Skill levels 3 and 4 ~ high","2014","14.3"
"Afghanistan","HIES - Households Living Conditions Survey","Skill level 2 ~ medium","2014","49.1"
"Afghanistan","HIES - Households Living Conditions Survey","Skill level 1 ~ low","2014","-48"
"Angola","LFS - Employment Survey","Skill levels 3 and 4 ~ high","2021","-8.9"
"Angola","LFS - Employment Survey","Skill level 2 ~ medium","2021","8.4"
"Angola","LFS - Employment Survey","Skill level 1 ~ low","2021","40"
"Angola","LFS - Employment Survey","Skill levels 3 and 4 ~ high","2019","15.4"
"Angola","LFS - Employment Survey","Skill level 2 ~ medium","2019","21.6"
"Angola","LFS - Employment Survey","Skill level 1 ~ low","2019","28.9"
"Argentina","LFS - Permanent Household Survey, Urban","Skill levels 3 and 4 ~ high","2022","5.9"
"Argentina","LFS - Permanent Household Survey, Urban","Skill level 2 ~ medium","2022","4.1"
"Argentina","LFS - Permanent Household Survey, Urban","Skill level 1 ~ low","2022","-10.2"
"Argentina","LFS - Permanent Household Survey, Urban","Skill levels 3 and 4 ~ high","2021","12.5"
"Argentina","LFS - Permanent Household Survey, Urban","Skill level 2 ~ medium","2021","2.1"
"Argentina","LFS - Permanent Household Survey, Urban","Skill level 1 ~ low","2021","-9.9"
"Argentina","LFS - Permanent Household Survey, Urban","Skill levels 3 and 4 ~ high","2020","11"
"Argentina","LFS - Permanent Household Survey, Urban","Skill level 2 ~ medium","2020","-3"
"Argentina","LFS - Permanent Household Survey, Urban","Skill level 1 ~ low","2020","-3.9"
"Argentina","LFS - Permanent Household Survey, Urban","Skill levels 3 and 4 ~ high","2019","3.3"
"Argentina","LFS - Permanent Household Survey, Urban","Skill level 2 ~ medium","2019","1"
"Argentina","LFS - Permanent Household Survey, Urban","Skill level 1 ~ low","2019","-0.2"
"Argentina","LFS - Permanent Household Survey, Urban","Skill levels 3 and 4 ~ high","2018","7.7"
"Argentina","LFS - Permanent Household Survey, Urban","Skill level 2 ~ medium","2018","3"
"Argentina","LFS - Permanent Household Survey, Urban","Skill level 1 ~ low","2018","-6.6"
"Argentina","LFS - Permanent Household Survey, Urban","Skill levels 3 and 4 ~ high","2017","5.1"
"Argentina","LFS - Permanent Household Survey, Urban","Skill level 2 ~ medium","2017","0.7"
"Argentina","LFS - Permanent Household Survey, Urban","Skill level 1 ~ low","2017","-9.4"
"Argentina","LFS - Permanent Household Survey, Urban","Skill levels 3 and 4 ~ high","2014","4.4"
"Argentina","LFS - Permanent Household Survey, Urban","Skill level 2 ~ medium","2014","2.3"
"Argentina","LFS - Permanent Household Survey, Urban","Skill level 1 ~ low","2014","-6.8"
"Argentina","LFS - Permanent Household Survey, Urban","Skill levels 3 and 4 ~ high","2013","8.4"
"Argentina","LFS - Permanent Household Survey, Urban","Skill level 2 ~ medium","2013","0.4"
"Argentina","LFS - Permanent Household Survey, Urban","Skill level 1 ~ low","2013","0"
"Armenia","LFS - Household Labour Force Survey","Skill levels 3 and 4 ~ high","2021","27.2"
"Armenia","LFS - Household Labour Force Survey","Skill level 2 ~ medium","2021","29.9"
"Armenia","LFS - Household Labour Force Survey","Skill level 1 ~ low","2021","15"
"Armenia","LFS - Household Labour Force Survey","Skill levels 3 and 4 ~ high","2020","22.1"
"Armenia","LFS - Household Labour Force Survey","Skill level 2 ~ medium","2020","26.7"
"Armenia","LFS - Household Labour Force Survey","Skill level 1 ~ low","2020","13.9"
"Armenia","LFS - Household Labour Force Survey","Skill levels 3 and 4 ~ high","2019","28.4"
"Armenia","LFS - Household Labour Force Survey","Skill level 2 ~ medium","2019","22.1"
"Armenia","LFS - Household Labour Force Survey","Skill level 1 ~ low","2019","24.3"
"Armenia","LFS - Household Labour Force Survey","Skill levels 3 and 4 ~ high","2018","25.9"
"Armenia","LFS - Household Labour Force Survey","Skill level 2 ~ medium","2018","26.4"
"Armenia","LFS - Household Labour Force Survey","Skill level 1 ~ low","2018","23"
"Armenia","LFS - Household Labour Force Survey","Skill levels 3 and 4 ~ high","2017","29.1"
"Armenia","LFS - Household Labour Force Survey","Skill level 2 ~ medium","2017","29.3"
"Armenia","LFS - Household Labour Force Survey","Skill level 1 ~ low","2017","15.8"
"Armenia","LFS - Household Labour Force Survey","Skill levels 3 and 4 ~ high","2016","24.8"
"Armenia","LFS - Household Labour Force Survey","Skill level 2 ~ medium","2016","29.5"
"Armenia","LFS - Household Labour Force Survey","Skill level 1 ~ low","2016","17"
"Armenia","LFS - Household Labour Force Survey","Skill levels 3 and 4 ~ high","2015","28.3"
"Armenia","LFS - Household Labour Force Survey","Skill level 2 ~ medium","2015","24.2"
"Armenia","LFS - Household Labour Force Survey","Skill level 1 ~ low","2015","9.1"
"Armenia","LFS - Household Labour Force Survey","Skill levels 3 and 4 ~ high","2014","23.9"
"Armenia","LFS - Household Labour Force Survey","Skill level 2 ~ medium","2014","24.8"
"Armenia","LFS - Household Labour Force Survey","Skill level 1 ~ low","2014","-9.7"
"Bangladesh","LFS - Labour Force Survey","Skill levels 3 and 4 ~ high","2017","10.6"
"Bangladesh","LFS - Labour Force Survey","Skill level 2 ~ medium","2017","8.9"
"Bangladesh","LFS - Labour Force Survey","Skill level 1 ~ low","2017","14.3"
"Bangladesh","LFS - Labour Force Survey","Skill levels 3 and 4 ~ high","2013","-5.1"
"Bangladesh","LFS - Labour Force Survey","Skill level 2 ~ medium","2013","2.8"
"Bangladesh","LFS - Labour Force Survey","Skill level 1 ~ low","2013","3.8"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Skill levels 3 and 4 ~ high","2022","2"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Skill level 2 ~ medium","2022","23.7"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Skill level 1 ~ low","2022","12.6"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Skill levels 3 and 4 ~ high","2021","0"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Skill level 2 ~ medium","2021","21.8"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Skill level 1 ~ low","2021","14.2"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Skill levels 3 and 4 ~ high","2020","-3.5"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Skill level 2 ~ medium","2020","38.5"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Skill level 1 ~ low","2020","22"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Skill levels 3 and 4 ~ high","2016","11.5"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Skill level 2 ~ medium","2016","10.7"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Skill level 1 ~ low","2016","22.2"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Skill levels 3 and 4 ~ high","2015","-0.5"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Skill level 2 ~ medium","2015","16.4"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Skill level 1 ~ low","2015","-61.7"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Skill levels 3 and 4 ~ high","2014","8.9"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Skill level 2 ~ medium","2014","17.8"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Skill level 1 ~ low","2014","17.9"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Skill levels 3 and 4 ~ high","2013","14.6"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Skill level 2 ~ medium","2013","14.5"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Skill level 1 ~ low","2013","-20"
"Belize","LFS - Labour Force Survey","Skill levels 3 and 4 ~ high","2019","0.8"
"Belize","LFS - Labour Force Survey","Skill level 2 ~ medium","2019","11.6"
"Belize","LFS - Labour Force Survey","Skill level 1 ~ low","2019","-30.8"
"Bolivia","LFS - Continuous Employment Survey","Skill levels 3 and 4 ~ high","2022","3.2"
"Bolivia","LFS - Continuous Employment Survey","Skill level 2 ~ medium","2022","18.6"
"Bolivia","LFS - Continuous Employment Survey","Skill level 1 ~ low","2022","22.1"
"Bolivia","LFS - Continuous Employment Survey","Skill levels 3 and 4 ~ high","2021","5.7"
"Bolivia","LFS - Continuous Employment Survey","Skill level 2 ~ medium","2021","17.7"
"Bolivia","LFS - Continuous Employment Survey","Skill level 1 ~ low","2021","17.5"
"Brazil","HS - Continuous National Household Sample Survey","Skill levels 3 and 4 ~ high","2022","18.2"
"Brazil","HS - Continuous National Household Sample Survey","Skill level 2 ~ medium","2022","15.6"
"Brazil","HS - Continuous National Household Sample Survey","Skill level 1 ~ low","2022","-8.5"
"Brazil","HS - Continuous National Household Sample Survey","Skill levels 3 and 4 ~ high","2021","14.1"
"Brazil","HS - Continuous National Household Sample Survey","Skill level 2 ~ medium","2021","10.9"
"Brazil","HS - Continuous National Household Sample Survey","Skill level 1 ~ low","2021","-11.3"
"Brazil","HS - Continuous National Household Sample Survey","Skill levels 3 and 4 ~ high","2020","19.5"
"Brazil","HS - Continuous National Household Sample Survey","Skill level 2 ~ medium","2020","10"
"Brazil","HS - Continuous National Household Sample Survey","Skill level 1 ~ low","2020","-17.2"
"Brazil","HS - Continuous National Household Sample Survey","Skill levels 3 and 4 ~ high","2019","20.9"
"Brazil","HS - Continuous National Household Sample Survey","Skill level 2 ~ medium","2019","13.6"
"Brazil","HS - Continuous National Household Sample Survey","Skill level 1 ~ low","2019","-11.4"
"Brazil","HS - Continuous National Household Sample Survey","Skill levels 3 and 4 ~ high","2018","18"
"Brazil","HS - Continuous National Household Sample Survey","Skill level 2 ~ medium","2018","15"
"Brazil","HS - Continuous National Household Sample Survey","Skill level 1 ~ low","2018","-11.9"
"Brazil","HS - Continuous National Household Sample Survey","Skill levels 3 and 4 ~ high","2017","18.8"
"Brazil","HS - Continuous National Household Sample Survey","Skill level 2 ~ medium","2017","14.1"
"Brazil","HS - Continuous National Household Sample Survey","Skill level 1 ~ low","2017","-12"
"Brazil","HS - Continuous National Household Sample Survey","Skill levels 3 and 4 ~ high","2016","17.2"
"Brazil","HS - Continuous National Household Sample Survey","Skill level 2 ~ medium","2016","16.6"
"Brazil","HS - Continuous National Household Sample Survey","Skill level 1 ~ low","2016","-10.7"
"Brazil","HS - Continuous National Household Sample Survey","Skill levels 3 and 4 ~ high","2015","15.1"
"Brazil","HS - Continuous National Household Sample Survey","Skill level 2 ~ medium","2015","16.6"
"Brazil","HS - Continuous National Household Sample Survey","Skill level 1 ~ low","2015","-6.8"
"Brazil","HS - Continuous National Household Sample Survey","Skill levels 3 and 4 ~ high","2014","16.3"
"Brazil","HS - Continuous National Household Sample Survey","Skill level 2 ~ medium","2014","18.1"
"Brazil","HS - Continuous National Household Sample Survey","Skill level 1 ~ low","2014","-7.1"
"Brazil","HS - Continuous National Household Sample Survey","Skill levels 3 and 4 ~ high","2013","12.6"
"Brazil","HS - Continuous National Household Sample Survey","Skill level 2 ~ medium","2013","17.1"
"Brazil","HS - Continuous National Household Sample Survey","Skill level 1 ~ low","2013","-5.6"
"Brunei Darussalam","LFS - Labour Force Survey","Skill levels 3 and 4 ~ high","2014","-1.8"
"Brunei Darussalam","LFS - Labour Force Survey","Skill level 2 ~ medium","2014","-15.3"
