"Country","Occupation","Year","Wage_gap"
"Chile","High",2013,28.4
"Chile","Medium",2013,10.3
"Chile","Low",2013,3.6
"Chile","High",2022,30.3
"Chile","Medium",2022,14.2
"Chile","High",2021,23.7
"Chile","Medium",2021,14.5
"Chile","High",2020,31
"Chile","Medium",2020,7.6
"Chile","High",2018,27.9
"Chile","Medium",2018,15.2
"Chile","Low",2018,1.7
"Chile","High",2017,27.3
"Chile","Medium",2017,13.7
"Chile","Low",2017,6.3
"Chile","High",2016,24.1
"Chile","Medium",2016,17.3
"Chile","Low",2016,4
"Chile","High",2015,26.1
"Chile","Medium",2015,19
"Chile","Low",2015,6.8
"Chile","High",2014,24.9
"Chile","Medium",2014,18.9
"Chile","Low",2014,5.3
"Egypt","Medium",2021,12.7
"Egypt","Low",2021,13.7
"Egypt","High",2020,7.1
"Egypt","Medium",2020,9.5
"Egypt","Low",2020,27
"Egypt","High",2019,12
"Egypt","Medium",2019,28
"Egypt","Low",2019,17.9
"Egypt","High",2018,14.8
"Egypt","Medium",2018,21
"Egypt","Low",2018,25
"Egypt","High",2017,15.5
"Egypt","Medium",2017,24.7
"Egypt","Low",2017,18.7
"Egypt","High",2016,16.5
"Egypt","Medium",2016,10.6
"Egypt","Low",2016,35.4
"Egypt","High",2015,14.9
"Egypt","Medium",2015,17.7
"Egypt","Low",2015,33.1
"Egypt","High",2013,17.6
"Egypt","Medium",2013,19.2
"Egypt","Low",2013,30.9
"France","High",2020,13.9
"France","Medium",2020,6
"France","Low",2020,4.1
"France","High",2019,14.2
"France","Medium",2019,8.5
"France","Low",2019,7.4
"France","High",2018,9.3
"France","Medium",2018,8.9
"France","Low",2018,10
"France","High",2017,12.2
"France","Medium",2017,8.5
"France","Low",2017,6.8
"France","High",2016,9.1
"France","Medium",2016,8.6
"France","Low",2016,3.5
"France","High",2015,9.8
"France","Medium",2015,7.8
"France","Low",2015,6.8
"France","High",2014,11.9
"France","Medium",2014,6.6
"France","Low",2014,4
"France","High",2013,10.3
"France","Medium",2013,10.1
"France","Low",2013,4.3
"Indonesia","High",2022,29.3
"Indonesia","Medium",2022,15.3
"Indonesia","Low",2022,26.9
"Indonesia","High",2021,17.9
"Indonesia","Medium",2021,8
"Indonesia","Low",2021,26.5
"Indonesia","High",2020,24
"Indonesia","Medium",2020,11.5
"Indonesia","Low",2020,26.2
"Indonesia","High",2019,29.4
"Indonesia","Medium",2019,14.5
"Indonesia","Low",2019,26.6
"Indonesia","High",2017,28.1
"Indonesia","Medium",2017,14.1
"Indonesia","Low",2017,26.9
"Indonesia","High",2016,26.6
"Indonesia","Medium",2016,11
"Indonesia","Low",2016,25.7
"Indonesia","High",2015,23.9
"Indonesia","Medium",2015,8.9
"Indonesia","Low",2015,28.6
"Indonesia","High",2014,28.4
"Indonesia","Medium",2014,15.6
"Indonesia","Low",2014,27.6
"Indonesia","High",2013,24.7
"Indonesia","Medium",2013,15.4
"Indonesia","Low",2013,28.4
"United States","High",2022,15.6
"United States","Medium",2022,20
"United States","Low",2022,19.1
"United States","High",2021,19.3
"United States","Medium",2021,21.3
"United States","Low",2021,13.3
"United States","High",2020,19.8
"United States","Medium",2020,20.6
"United States","Low",2020,16.6
"United States","High",2019,15.3
"United States","Medium",2019,21.7
"United States","Low",2019,19.1
"United States","High",2018,15.2
"United States","Medium",2018,21.4
"United States","Low",2018,20.3
"United States","High",2017,15.6
"United States","Medium",2017,17.3
"United States","Low",2017,21.8
"United States","High",2016,15.3
"United States","Medium",2016,19.6
"United States","Low",2016,22.7
"United States","High",2015,15.5
"United States","Medium",2015,21.2
"United States","Low",2015,17.2
"United States","High",2014,16.3
"United States","Medium",2014,21.2
"United States","Low",2014,18.8
"United States","High",2013,17.7
"United States","Medium",2013,24.1
"United States","Low",2013,23.1
